Username,Comment
@dishamonga489,"Raat mein chandni kabhi
Aisi gungunati hain
Sunn zara lagta hain tumse
Awaaz milati hain


Mein khayalon ki mehek hooon
Gungunate saaz par


Ho sake to milale
Awaaz ko mere saaz par


Aaja mein hawaon pe bithake le chalun
Tu hi to meri dost hain
Aaja mein khalon mein uthake le chalun
Tu hi to meri dost hain


Awaaz ka dariya hoon
Behta hoon mein nili raaton mein
Main jaagta rehta hoon
Neend bhari jheel se aankhon mein
Awaaz hoon mein


O kabhi dekhe hain saahil
Jahan sham utarti hain
Kehte hain samunder se


Ek pari guzarti hain


Woh raat ki rani hain
Sargam par chalti hain"
@purbitasingha567,Found it finally.... today's kid will not understand thisss
@SheikhTalibhussain-ph6yw,I m lissing
@BullaGamer1,24-may-2024🎉 Still awesome 👏 Ever green song 🎧 🎵 🎶😌
@Deads0ul999,2010 ke aas pass suna tha 4th class me qki usse pahle hamare pass tv nhi tha.
@lil_per_vert,GOATED SONG 🔥🔥🔥🔥🔥
@user-ix4eq8zt6d,Tera kya fat raha hai
@marwanmengal,❤❤❤❤
@M4XCROOK,Tu Hi Toh Meri Dost Hai ❤ 2k24
@khushkhan3609,Beautiful song..❤
@naimurrahman4307,9xm
@umemasoomro8843,Mesmerizing beauty of Katrina Kaif and each look suits her especially in western Royal type dresses she is like a princess❤
@shivanidudhpuri2117,This era ❤
@vikramparihar4454,Yaar is song me school me dance ka compition tha jeeta nhi pr wo moment aaj bhi miss krta hu wo yaade wo school frndzz everything
@Pooja-fi9ow,❤❤❤
@distortion3586,"Well thanks to these channels for a beautiful time period, B4U, 9xm, MTv, entert10 and many more.❤"
@juhikewlani1069,katrina salman besttt chemistry 🌹❤️
@HadhemiJedd,Mai 2024 love this song ❤️
@MDIMRAN-ux9qf,Yes
@rajanproplayerff2568,Ye old is gold gane ithne he sunder hote hai kyu ki aise old gano me purani bate aur yade judi rahte hai 😭😭❤
@hiteshgola3348,Anyone who listen in 2025?
@incrux7124,Watching song after 16 years love the song on 9 x m
@hasher4mvp,Took me over a decade to find this song. Haven’t listened to it in sooo long
@mamataprasad7349,"What they mean when they say ""dost""I mean what they are taking about in this song?what is the situation here?is they are friends?or something else??"
@yasmeenbano1767,Yes...this song fabulous 😍🤩
@izacksharat4548,There is a time when we only listen to music not the advertisements
@Q-1424,25 feb 2025 anyone??
@MdFaruk-wg2hr,Salman khan screen presence was something else...then...
@prozal2314,❤❤❤❤❤
@arunbanotra2932,90s generation you were teenagers in 2004  to 2010 have best childhood and teenagers
@ashmitamajumdar2372,Is there anyone in 2024?
@itachiwinterwolf,"Anyone From 2024 May 13 Monday 
Time 11:46"
@hagarmohamed6482,"Salman Khan is so handsome here, that I can't determine the softness and peak of the handsomeness of Salman, he is becoming much  more handsome and cute when he growing up ❤❤"
@Thefoodman321,The song is pure magic ✨
@surajhumane9256,4:39 ❤❤❤❤❤❤
@user-ui8re8kj9s,❤❤❤❤❤
@kalandershahafwan4959,Any one hearing this song in 2024 --------> ❤
@AnnoyedChocolateBonbons-vf3wl,Wow Katrina kaif mam The angelic beauty❤
@ansarizaid5140,Salman Khan handsome ❤❤
@alympickashyap3973,Who is 2024
@barunsutradhar990,Masterpiece song ❤❤❤❤
@mehreenshiakh6835,Anyone in 2024 ???
@Vlog_matrix319,"2009,2010 was the best year for Bollywood no chapri films. No chapri songs only true feelings family movies ,etc., missing the 90's era very badly 😌😌😌"
@blabla-rm9wo,shreya sounds like a fairy
@agamsoni5655,Eski tune bahot payari hai ❤❤❤
@mtmohit678,Miss you meri dost❤
@MuhammadKhalid-ch3li,This is very good song no one objection on this relationship.
@angelalinna2536,2024❤
@vikassaxena6961,In 2024 attendance
@shovonkarim7096,Who is listening in 2024?
@AshviniTamada-ic4xl,Mm
@AamirKhan-kc6ej,Salman beauty at its peak❤
@PaisalNurlukman,Salman my heart ❤❤❤❤❤❤
@anikdeb9875,This is 2024 but the filling is same as it was on 2008
@najeebKhanofficial1,"This is not a song, it's emotion 90s kids"
@Ankitkumar_130,The best era of Bollywood industry ❤
@harshalparab95,damn salman khan in white t-shirt looking smart and handsome..
@jaibhatt4734,Anyone watching 1 May 2024🥹
@vishaldhaygude8134,2024 🫶🏻
@fmo163,"I always say Prime katrina Kaif is in this song ,in this movie Yuvraj ❤️😍

Prime Kat beauty💕"
@jaganbaut5001,Saal 2012 tha And My teen Age was Awesome 💯😎
@celebritiesworld5436,Watching reels ❤
@user-zi7lo8qi9x,❤❤❤❤❤❤
@cartech.4011,2024 present here !
@user-fw1hb4qf5u,I loved it 😄 2024
@MomotazAkter-ye4qy,Anyone in 2024?
@myway2230,2024 who listen this song❤
@shandarbharat7158,Salman bhai ❤🥲
@shandarbharat7158,Anyone in 2024 ??
@rahulswain2305,Anyone in 2024? Or it's only me
@kr21370,4:20 ufff❤❤
@UnikaSingh-fj8hm,Inst reels dekh kar kon kon aaya h ......
@youtubea2z622,Kon kon yee video 2024 April 24 dekraha he
@user-xi9uu4pt1p,He had no any blockbuster at that specific period of around 5 yrs but no other actor could beat him.
@SamikchaSubba-qn1ju,❤❤
@pubali7288,insta reels se direct 2008 me aayi❤️‍🩹
@akashcinephile4982,"the movie was average, but lets appreciate the canvas building of showman Subhash Ghai. what lovely songs man. Simply awesome !!!"
@tandeepsingh200,❤
@samajnepal,2026
@user-dt1pv4kl9g,dancer
@squanchy4360,"I was in 12th standard when this came out. We were in hostel, and my friend had an idpod. People used to book his ipod juat to listen to this song. I used to take it after everyone so that I can listen to this song and 'Tu muskura' song on loop! The memories and the  nostaligia 😣"
@socialtrend9383,This song released at that time when there was No Sadness in my life 😭😭😭😭😭😭
@socialtrend9383,"रुला दिया यार इस गाने ने, 😭😭😭😭😭
वोह बच पन, वोह यादें, वोह अच्छा समय, क्या कहूं अब, 😭😭😭😭😭😭😭"
@soorajmannancheri1751,My objective is installation of 2*10^(46) watt solar panel
@adnanalam2879,Any one here in 2024 ❤
@princesandhu1110,2024 attendance ❤🎉
@vipinsharma7838,"do something in 2008, we used to play songs for you outside the coaching centre"
@rajkumarprabhakar1429,Kya beautiful couple hai wahh❤
@rajkumarprabhakar1429,Bhai jaan looking cute
@RahulKumar-zxt,2:57🙂😊
@shailasingh5684,Yes old is gold always
@Sayara_is_Love,"And literally my heart belongs to this era 🤌🏻❤
2024 anyone?"
@loralieeee,He sent me this song. I love listening to it ever since! <3
@itss.k5026,Shreya ❤❤❤❤voice haye
@user-qp7of7du1k,Anyone in 2K24
@saifalikhan2893,Insta me deke kon kon aya like kare
@vishnumishra5159,I love you Awantika ❤
@jyotithakur8615,haapy dancer is here
@jyotithakur8615,thank for song
@jyotithakur8615,kya bata h
@jyotithakur8615,wow
@jyotithakur8615,kidhar ho chachu
@jyotithakur8615,feel the words
@jyotithakur8615,only my dost jigri
@RaviSingh-oe2rp,❤❤❤❤
@danikhan2663,watching this on cable 2008 unforgettable memories
@bhumika9061,4:38
@eyesopen2489,6 April 2024❤ anyone listening 🎧 stranger attendance here ❤️✅
@serialkisser0404,I was first listened this song in  9xm channel 😊
@devikacheetamun7736,2024 anyone listening 🎶?
@sunilrezmi,"I’m not in position to advertise myself and I don’t want to because it limits my possibilities, I want the person that I picked to come in front. Only the person that picked. If there is someone I picked instead of me no complaints never. But if anyone else picks and tries to show the light I will cover that light with darkness. This weekend let’s do it put Anita in front of the world asking where we moving towards. Intelligent brilliant any qualities anyone expects. I would never complain. If she leads I would never complain. NEVER. Only this weekend. If you try to establish anything else than I picked I will cover it with dark cloud. But if it is the one that I picked I would never complain. I know even connecting to sun and moon let me stay behind. Only that I pick come in front. America is scared to put me in front because I know the are writing their death certificate if I’m in front. But if Anita is there you may come back alive from ICU. If you try to show me any light I will cover with dark cloud. But with her you may get to the destination with that kind of light too."
@graymin_6678,Hey stranger you have a great music taste ❤
@luvvguptaa,2024 ❤
@cutenation,"I might troll Salman for 100 things, but he looked absolutely stunning in this whole movie"
@MultiAmitsrivastava,At the time only that kind of music keep alive me between my dreams & Reality.......
@AhmedRony889,"যখন ক্লাস ১০এ নতুন উঠলাম,তখন জীবনে প্রথম প্রেমে পড়েছিলাম এক হিন্দু ধর্মের মেয়ের,আমার বাড়ি থেকে ৫/৬কি:মি দূরে হবে তার বাড়ি।
আমি এক স্কুলে সে অন্য স্কুলে..!
ছুটি হলে ওর স্কুলের সামনে দাঁড়িয়ে থাকতাম ৪টা পযন্ত।ছুটি হলে ওর পিছে পিছে সেই ৫/৬কিলো পথ হেঁটে হেঁটে বাড়ি পযন্ত যেতাম।

কানে হেডফোন আর এ গান আহ্,কই সে দিনগুলো😢😢😢😢"
@RahatRohit,U can abuse any one...
@RahatRohit,May be...
@RahatRohit,Not for any indian..
@RahatRohit,Mujhe gali achhi lagti hai...
@divyanshupateldiv,"I heard this song for the first time in the year 2008 or 09 when I was take 1st ride in my brother's new Swift car. Even today when I listen to this song, I remember that time. Yes, maybe these were the memorable golden days of 9th grade, I really remember them.🥹"
@user-rr4ff6up9s,Kakkar pls is song ko kharab mat karna
@navpreetsingh1971,In 2024 march❤😢
@sabahkhan7915,Congratulations you have good taste in music ❤
@Hiranyagarbha789,"""Simplicity is the ultimate form of sophistication""
 - Leonardo Da Vinci

I miss those days, which were full of innocence.

I miss that pak zamana jaha masoomiyat thi."
@Hiranyagarbha789,"I love the aesthetics in this video. Every scene is like a beautiful wallpaper. The aesthetics of this video are on point. Such an underrated video and song. 

I think it is underrated because it is not bold like an item song. It is simple and innocent. That's why it didn't get a lot of views like item songs."
@Hiranyagarbha789,I still remember I loved the intro music in my childhood and played the intro music on repeat before letting the song begin.
@Hiranyagarbha789,Such a cute conversation at 01:30. 😂
@Hiranyagarbha789,"I love the way, she says no. 😂
So cute. 🥰"
@swatiswati2525,❤❤ no one can understand  the emotions  this song hold 🥰🥰😘
@musicalkid9184,Benny Dayal and AR Rehman❤❤❤
@musicalkid9184,In second antra sargam ni sa re sa re sa sa re sa re sa re sa re is sung by struggling singer at that time Arijit singh❤❤❤
@musicalkid9184,Use of pizarco instrument 2:34-2:39sec in 5 seconds rewinds your life back to childhood❤❤❤
@samimakhtar958,Ye sab gaane sun ke purane din yaad aa jaate hai
@unknown-nr7wh,Nostalgia hitting harder than ever🥺✨♥️this is so damn pure❤wow those days
@bmhawking1538,1 week sure eina khwaidagi nungcjaba nupi ga kynaba adusu luhonglaba mtung da kynaba💔date:23/03/2024 time3:49pm
@sandeshkamble1743,Who is here after OK Tested
@user-pf2re8dn2v,2024❤
@mukeshsaha7797,Any in  2024 ?
@tanjirsiddique9537,"Masterpiece ❤

Missing this era of Salman Khan 🥹
This level of cuteness is unprecedented 🥹❤"
@rohitjoshi553,Long Bike Ride + this song+ 4:00 a.m.+ feb
@1SaifMamun,"When I was in class 9 . Laksam pilot high school 🎒. Using Nokia Phone 😢 
Remambaring that days"
@komalverma4776,2024 m hai koi jo ye song sun ra ho
@aayushchakraborty2737,Beautiful song ❤❤❤❤
@user-lz1dw3xw9m,It's 2024 guys
@manojjagtap8105,❤❤
@Originalvideo786,I love ❤you🧕 ....2:16
@user-wy1kq7si8c,❤
@akhterhossen9613,Aishwarya rai is more attractive actress in hollywood...
@fazalpathan9700,🤟
@MalikSahbir-tv7jx,❤❤😊
@MalikSahbir-tv7jx,😭😭😭😚
@shlokakale8197,The charm of the pre-smartphone era oozes out from this song.
@AAllrounderr,Fm ❤
@superhitabhigaming,To Firr kab chalo ge chai peene?
@FatimaGolferro,Koi hai 2024
@ahmarkhan5828,Just awesome music
@user-sp3nv1of6l,Bye.
@user-sp3nv1of6l,💋
@devilmaycry7652,Katrina Kaif look beautiful in this movie 😀👍
@tomatopotato6795,at 4:22 Katrina's acting skills are zero pure zero
@cricketerraiyan9905,benny deyal has such a wonderful voice
@user-sp3nv1of6l,💋💋
@shaaho16,This Song And Salman Khan favourite part of childhood time...❤❤
@shekharmoota1983,❤❤
@user-sp3nv1of6l,❤😂
@user-sp3nv1of6l,❤❤
@sunil.a.gamingfreefire4709,Nice song
@ramishghori9668,Anyone listening this song in 2024💯
@respectinfinity6130,Most handsome version of Salman Khan
@CLOUDYsoup53,2:30 😮
@deezybrrah,she was 21 he was 43 crazzy how good salman looked for his age.
@JonasKPhai,Who listening 🎧 on 2024 these songs ❤
@muskaan.s.iliyas8456,Who are here in 2024
@ARCAdityaPrakash,I was in class 5 when I used to listen this in earphones it was music of mind
@shibamsantra643,Me in 2024 Still listening to this song 😌
@PRATYAKSM,Love ❤
@mahwashfatima3432,Hrmzadi maha Nusrat maha bilal
@mahwashfatima3432,Hrmzada Amit ydv
@user-zs8xk7ho7s,645814
@user-sp3nv1of6l,💫💋💋
@user-sp3nv1of6l,💋💋
@akshayrana7986,I was in 4th or 5th..Miss those days❤
@anshuman999dark7,Who is listening 2024😂😂😊
@prince3936,Still 2024 hit my heart❤️❤️
@yasirrehman2764,Salman bhai wedding  ❤
@user-iz5eq3qp9g,KRice
@deep6286,Who is still listening this masterpiece song in 2024😊
@deebakhalid9755,Ufff i was in class 7th...one of my favrt at that time.
@ArvindKumar-sn7kx,21 Feb 2024 Who is listening this lovely song ri8 now;?... ❤
@user-zi4ot2en4d,❤❤❤❤❤❤❤❤
@user-zi4ot2en4d,❤❤❤❤❤❤❤❤
@user-vo4ux4sn3d,I am sorry bcz I love uuuuu
@mrcreative7595,It's 2024 🎉
@mustafasayyed956,That time Katrina's heart rule Salman Khan
@sajeedhussein2827,Me 2024 me sun rha hu he or koi sunne vala jo 90 me peda hua or ye song aaj yad kar ke sun rha he
@rimankazg8082,I was class 7.....miss the time
@godwinsabuantony8474,"I was in 9th standard, and when i come home , i tune dreams tv chanel to watch this."
@KavitaSatishTiwari,I was just 8 year and this movie comes in theater❤❤❤
@Rahul_Tech_YT,My age was 7 years old that time 😅
@Procontrols,listening in 2024 again
@raghavsharma4117,salman khan one of the best songs❤❤
@vantaedix_,I was 3 yr old when this song released and this year im gonna turn 19 time flies so fast fr🫠 I wish i could go back in time n relive those moments again
@ithleshshallymishra8102,Hows still out to listen this melody
@ShoaibKhan-kc1qh,2024 legends 😂❤
@sahanajcowduri3289,Dostono oadha keya ma auanga
@sahanajcowduri3289,Dostono pads keya ma auanga
@sahanajcowduri3289,Mr Salman I like your two song to mara dost ho Banjara iska don ma pagol para by shahnaj Chowdhury mita Bangladeshi fan
@ayushayush7323,2008 golden moments
@grobanite4ever85,This is one of my favorites
@grobanite4ever85,I finally found it
@chaionkhan6504,Why time running so fast 😢😢😢😔😔💔😭
@NareshGohel1988,Very nice song
@nkmittra100,2024 me kaun kaun sun raha hai ♥️
@ZubairKhan-tl6iw,3:37 .. koi Tod nhi bhai ka
@Rakexxvlogs110,Koun koun 2024 me sun raha h
@jitupunjabi387,Last Handsome Hero.... Salman Khan....
@piyushdeshpande1341,"Such melodies, such music and the elegant potrayal by the super Salman & Katrina.😚"
@JALLAD_M10_GAMING,shreya ghoshal voice is magic love you shreya di😍😍😍
@theAahans,5th class nostalgia tyagi ji😂
@jayworks6863,Shreya  ENDING 5:18  vox  tis magcal
@Shaba_hat,"Me & my cousins used to listen to this song on mp3 in 2008 . But I couldn't sing this at that time ,but now can sing smoothly, didn't know i can sing,at that time"
@ubadumair6529,❤❤❤
@dayanwaikhom2399,2024 here..! ❤ Nostalgia 💕
@utkarshtiwari5387,Feb/01/2024
@sahiljhajhria07,This song❤❤
@mukund1826,10 th standard me suna tha ye song tabhi mera favorite song tha ❤️
@Yash180,Made our childhood memorable
@deepaknarwade1513,Old is gold
@jokerkibakchodi3071,From 2014 to 3014
@jokerkibakchodi3071,2024
@satyjeet___,5 mnt
@pratiksharma13,Last time Salman and AR rehman worked together 😢
@Crown_priyanshu,This song says anything ❤
@MohdAmir-qw2qv,Perfect couple lag rahe h
@aamirchishti1907,Anyone in 2024
@mdshawkathossain1038,Mashud ajjke hajar corore score korte bolo Arabian ra ja cash deba se score OK Kore deba
@syedraza3987,When i was child my brother used to listen this masterpiece daily😂 i miss those golden days❤.. it will never come back🥀
@bishalsaha8354,Nostalgia ❤
@b_short_1139,Anyone in 2024 ❤😊
@user-wh9vm5wb5c,Anyone listening in 2024..✌
@sumitjajulwar9269,2024
@user-sf9yb9rs7j,8:22pm 17 jan 2024
@sanjulakhi997,2024me v same feeling 😢❤
@unknown-yb3dp,Gulzar sahab❤
@mohammadalparvez111,Still hearing in 2024. Being nostalgic of those days of student life.
@leilasudarmo1053,Keren
@Amansharma-uz3mb,Evergreen song Benny magical voice just like kese mujhe tum mil gayi song❤
@hritiktripathi852,"Season of rainy old back in year 2018, fest of engineering college. Once I dedicated this song to my friend afterward I did mistake over mistake and because of various misconception everything get finished b/w us.❤️🇮🇳🚩"
@rohanrouth663,I love you plaboni das ❤😊❤😊❤❤😊❤😊❤😊❤😊❤😊😊❤❤😊❤😊❤😊❤😊❤😊❤😊❤❤😊❤😊❤😊❤
@trtAlpArslanByAanTv177,2024 main kon kon
@mohammedrehan709,AR Rahman sir❤
@karshdeo2843,It's not a song it's a whole universe
@crazy_fishershadab,Jab bhi song sunta hu too bachpan yaad ata hai
@ChhaviBhardwaj-wc1bv,"Han dost he hai salmon bhai ki 🗿
Isliye to real life me bhi friend zone kar diya😭🙂🧚‍♂️"
@JyotsnaPatra-ly6zf,Nice song ❤
@ansarishamim3323,Kon  ye gana nahi bhola hai aj bhi sunta
@khushisingh7803,Those days 🥹❤️
@KapilSingh410,Salman Khan is part of the Illuminati!
@shairanasrabony8152,This song makes me believe that love is happening
@ayushsingh335,Whatever people say but Salman Khan's look is super hottt...what a handsome man 🔥
@laibahoorulainn5910,Yeh kaise hua salman how my soul meet you
@salomidabre7618,mera selection ho gaya
@salomidabre7618,best song by salmaan khan . thanks pu for this song
@JyotsnaPatra-ly6zf,I love ❤ this song
@tetouananimals2290,❤Nehad Ayoub ❤
@laibahoorulainn5910,Salman shezada came my drams true hrs us jaga Lai gaya jo mai ne khwab mai daikha tha
@myaimdream,❤
@Farhansiddiqui999,Muja samaj me aagaya OLD IN     GOLD 😢😢😢😢😢
@rajmagare007,"My Lots of childhood memory are connected to this song 
Everytime i listen to this song felt like heaven ❤️"
@Vishals495,I suddenly remembered this masterpiece....this was my favorite song when this movie came... and now came here to listen after nearly 7-8 years❤
@laibahoorulainn5910,Katrina is not human she is my soul
@laibahoorulainn5910,Katrina is a soul
@Rainbow_Musics,❤
@hinagulzar7867,4:34 ❤
@kumarrobins187,HAPPY BIRTHDAY BHAI ❤🎉
@Roxxinentertainment,Is song ke time kon kon school me tha 7th 8th standard me 😊😊❤❤
@pavankademani123,Anyone in 2023....?❤
@user-nf6wz6xd3r,College frens yhi hello laga rakhe the sabke phone pe incoming aur hello tune yhi hoti thi call kren to yahi sunai de aur mobile baje to bhi yhi na jane ab kaun kaha h kesa h sb ulajh gye Zindagi me
@senjutibhowmik1991,Plz never delete this ❤❤🎉🎉😊😊
@Phoenix___,"I am loving this so much .. i have so many  thing to say that i cant  write it full here ❤
1. That violin in the start 0:11
2 . Its main chorus and its after  part at 0:32
3. Literally the vibe it gives pure nostalgic i get scenes of my childhood simple life ""peace"" listening song at morning , mom scolding me to do homework to make  my life good i do it , 2 hr playtime at evening regular 1 movie dad bring at 30 ₹ rent . Sleeping till 8 and used to watch sun rays at my bed at dawn .. god those days .. golden period of my life"
@sameergehlot5921,Kya din the yr wo bhi really old is gold.😢
@renu_smoker8254,"2023 ko sun ne vale like ❤kare .....
😊"
@laibahoorulainn5910,Salman mere dost kha ho tum I see this song for me😊
@laibahoorulainn5910,Mere soul i love you
@rehmanqureshi9292,When he was peak of handsomeness golden days
@ManojKumar-df2ug,Cod v 0366
@ManojKumar-df2ug,V  cod shi 03944
@hugo-fn2hr,Myan ❤ salman khan
@NWSIMU,Salman ki zindagi khud ek movie hein with all his love ladies and break ups 😢 hope someone makes a movie on his life 😢
@assiduouscnp5798,i hate this ringtone grl
@goutammeshram1979,When bhoi on his ruling era ❤
@priyajadli4407,❤
@nishitashrestha2587,benny😭😭
@marvelxgaming2175,Old is really gold😌
@shubu581,Hi Latika ...ye gana sirf tumhari vajah se sun raha hu kyoki tumme 2008 me kaha tha ye tumhara favorite song h
@krishnamishra007,Nostalgia 🥺
@laibahoorulainn5910,I and salman was like that In dream
@asiftanzir9104,"In 2009, YouTube was not available generally. My uncle, who came from America, brought a CD of films, including the movie 'Yuvraj.' I began watching this movie then and fell in love with its songs. A.R. Rahman's composition is fantastic. What marvelous music! ❤"
@chandananimalsepala-5805,Bollywood Film Language and Chandana Nimal Sepala Pranayama Yoga Breathing Help Human Rights
@chandananimalsepala-5805,🇮🇳🎧🇮🇳
@ajayyadav17AP,This song may be 15 years old. But for us it never gets old. He's truly a masterpiece❤️
@sohaila433,1:55 Shreya goshal is literally magic
@BA_ENGLISH_YOUTUBER,Now i undustand why Salman was the best
@mohietroy,2024 😢😢
@adityavikram6188,2008 ki wo sard raat or ye song pure nostalgic ❤
@hobiburali5776,"What a fantastic song, all credit goes to AR Rahman he is a great music director"
@aishwaryapandey3032,2:10 wow
@hemlatashastri9955,Beautiful_song_video👌❤️❤️
@filmyfatafatIndia,Once upon a time when Katrina looked like a Disney Princess 😍
@laibahoorulainn5910,Are yeh Kiya mere soul hai tehlka Macha rahi hai duniya mai
@irfantanjil9569,selfish mera friend hei...
@anitsingh555,Anyone from 2023 😊
@VijayKumar-gu8hx,Ek jamana tha Katrina kitni beautiful aur cute dikthi thi...Ab sirf plastic dikta hai...🤢🤢🤢
@mohdbilal774,Why bollywood not making this kind of songs😍😍😍
@adityasharma9151,Benny did amazing job. But Kk would have sung it better.
@favelas5482,krk....
@sekhakbar786,Bhai kaun 2024. Me dekh raha hai❤❤
@paponjubin1312,Anyone 🙄
@user-br3xd8he7j,Kon Kon abhi bi yeh song sun RHA Hai ❤
@a.r.nagoormeeran3893,15th Years Of Celebration Hindi Movie: Yuvvraaj (21.11.2008) An A.R.Rahman Sir Blockbuster Album 9 Gem of Songs Still Fresh & Amazing BGM. Director Shubhas Ghai Sir - ARR Sir 2nd Combo.
@anushkaadhikari7406,I can never moveon from this masterpiece ❤️‍🩹
@AnushkaBhattacharya710,the song is good i never expected the video to be so whack lol
